P1,P4,rc,T1,T3,volumetric_flow_rate,isentropic_turbine_eff,isentropic_compressor_eff
100000,100000,08,300,1700,5,1,1
100000,100000,10,300,1700,5,1,1
100000,100000,12,300,1700,5,1,1
100000,100000,14,300,1700,5,1,1
100000,100000,16,300,1700,5,1,1
100000,100000,18,300,1700,5,1,1
100000,100000,20,300,1700,5,1,1
100000,100000,22,300,1700,5,1,1
100000,100000,24,300,1700,5,1,1
100000,100000,26,300,1700,5,1,1
100000,100000,28,300,1700,5,1,1
100000,100000,30,300,1700,5,1,1
100000,100000,35,300,1700,5,1,1
100000,100000,40,300,1700,5,1,1
100000,100000,45,300,1700,5,1,1
100000,100000,50,300,1700,5,1,1
